PT,Author,Title,Publication,Year,Abstract,Citation Count,Sn,Id
J,"Hartup, WW; Stevens, N",Friendships and adaptation in the life course,PSYCHOLOGICAL BULLETIN,1997,"To consider friendships and their significance through the life course requires, first, differentiation of deep structure (i.e., reciprocity) from surface structure (i.e., the social exchange) and, second, assessment within a multifaceted framework that simultaneously emphasizes having friends, the identity of one's friends, and relationship quality. Having friends is correlated with a sense of wellbeing across the life span, but developmental outcome also depends on the identity of one's friends as well as the quality of one's relationships with them. Greater attention needs to be given to the manner in which friendships differ from one another, continuities and changes across major developmental transitions, and differentiation of developmental pathways through which friendship experience contributes to individual outcome.",463,0033-2909,WOS:A1997WW19700002
J,"Watts, DJ","The ""new"" science of networks",ANNUAL REVIEW OF SOCIOLOGY,2004,"In recent years, the analysis and modeling of networks, and also networked-dynamical systems, have been the subject of considerable interdisciplinary interest, yielding several hundred papers in physics, mathematics, computer science, biology, economics, and sociology journals (Newman:2003c), as well as a number of books (Barabasi 2002, Buchanan 2002, Watts 2003). Here I review the major findings of this emerging field and discuss briefly their relationship with previous work in the social and mathematical sciences.",458,0360-0572,WOS:000223503200012
J,"Ruef, M; Aldrich, HE; Carter, NM","The structure of founding teams: Homophily, strong ties, and isolation among US entrepreneur",AMERICAN SOCIOLOGICAL REVIEW,2003,"The mechanisms governing the composition of formal social groups (e.g., task groups, organizational founding teams) remain poorly understood, owing to (1) a lack of representative sampling from groups found in the general population, (2) a ""success"" bias among researchers that leads them to consider only those groups that actually emerge and survive, and (3) a restrictive focus on some theorized mechanisms of group composition (e.g., homophily) to the exclusion of others. These shortcomings are addressed by analyzing a unique, representative data set of organizational founding teams sampled from the U.S. population. Rather than simply considering the properties of those founding teams that are empirically observed, a novel quantitative methodology generates the distribution of all possible teams, based on combinations of individual and relational characteristics. This methodology permits the exploration of five mechanisms of group composition-those based on homophily. functionality, status expectations, network constraint, and ecological constraint. Findings suggest that homophily and network constraints based on strong ties have the most pronounced effect on group composition. Social isolation (i.e., exclusion from a group) is more likely to occur as a result of ecological constraints on the availability of similar alters in a locality than as a result of status-varying membership choices.",451,0003-1224,WOS:000222054000002
J,"Chu, Shu-Chuan; Kim, Yoojung",Determinants of consumer engagement in electronic word-of-mouth (eWOM) in social networking sites,INTERNATIONAL JOURNAL OF ADVERTISING,2011,"As more and more marketers incorporate social media as an integral part of the promotional mix., rigorous investigation of the determinants that impact consumers' engagement in eWOM via social networks is becoming critical. Given the social and communal characteristics of social networking sites (SNSs) such as Faeebook, My Space and Friendster, this study examines how social relationship factors relate to eWOM transmitted via online social websites. Specifically, a conceptual model that identifies tie strength, homophily, trust, normative and informational interpersonal influence as an important antecedent to eWOM behaviour in SNSs was developed and tested. The results confirm that tie strength, trust, normative and informational influence are positively associated with users' overall eWOM behaviour, whereas a negative relationship was found with regard to homophily. This study suggests that product-focused eWOM in SNSs is a unique phenomenon with important social implications. The implications for researchers, practitioners and policy makers of social media regulation are discussed.",420,0265-0487,WOS:000289587400004
J,"Borgatti, Stephen P.; Halgin, Daniel S.",On Network Theory,ORGANIZATION SCIENCE,2011,"Research on social networks has grown considerably in the last decade. However, there is a certain amount of confusion about network theory-for example, what it is, what is distinctive about it, and how to generate new theory. This paper attempts to remedy the situation by clarifying the fundamental concepts of the field (such as the network) and characterizing how network reasoning works. We start by considering the definition of network, noting some confusion caused by two different perspectives, which we refer to as realist and nominalist. We then analyze two well-known network theories, Granovetter's strength of weak ties theory [Granovetter, M. S. 1973. The strength of weak ties. Amer. J. Sociol. 78(6) 1360-1380] and Burt's structural holes theory [Burt, R. S. 1992. Structural Holes: The Social Structure of Competition. Havard University Press, Cambridge, MA], to identify characteristic elements of network theorizing. We argue that both theories share an underlying theoretical model, which we label the network flow model, from which we derive additional implications. We also discuss network phenomena that do not appear to fit the flow model and discuss the possibility of a second fundamental model, which we call the bond model. We close with a discussion of the merits of model-based network theorizing for facilitating the generation of new theory, as well as a discussion of endogeneity in network theorizing.",374,1047-7039,WOS:000295027600006
J,"LINCOLN, JR; MILLER, J",WORK AND FRIENDSHIP TIES IN ORGANIZATIONS - COMPARATIVE ANALYSIS OF RELATIONAL NETWORKS,ADMINISTRATIVE SCIENCE QUARTERLY,1979,,363,0001-8392,WOS:A1979GX41100002
S,"Steglich, Christian; Snijders, Tom A. B.; Pearson, Michael",DYNAMIC NETWORKS AND BEHAVIOR: SEPARATING SELECTION FROM INFLUENCE,"SOCIOLOGICAL METHODOLOGY, VOL 40",2010,"A recurrent problem in the analysis of behavioral dynamics, given a simultaneously evolving social network, is the difficulty of separating the effects of partner selection from the effects of social influence. Because misattribution of selection effects to social influence, or vice versa, suggests wrong conclusions about the social mechanisms underlying the observed dynamics', special diligence in data analysis is advisable. While a dependable and valid method would benefit several research areas, according to the best of our knowledge, it has been lacking in the extant literature. In this paper, we present a recently developed family of statistical models that enables researchers to separate the two effects in a statistically adequate manner. To illustrate our method, we investigate the roles of homophile selection and peer influence mechanisms in the joint dynamics of friendship formation and substance use among adolescents. Making use of a three-wave panel measured in the years 1995-1997 at a school in Scotland, we are able to assess the strength of selection and influence mechanisms and quantify the relative contributions of homophile selection, assimilation to peers, and control mechanisms to observed similarity of substance use among friends.",350,0081-1750,WOS:000287124900008
J,"Prell, Christina; Reed, Mark; Racin, Liat; Hubacek, Klaus","Competing Structure, Competing Views: The Role of Formal and Informal Social Structures in Shaping Stakeholder Perceptions",ECOLOGY AND SOCIETY,2010,"What is social structure, and how does it influence the views and behaviors of land managers? In this paper, we unpack the term ""social structure"" in the context of current research on institutions, social networks, and their role(s) in resource management. We identify two different kinds of structure, formal and informal, and explore how these link to views of land management and management practice. Formal structures refer to intentionally designed organizations that arise out of larger institutional arrangements; informal ones refer to social networks, based on the communication contacts individuals possess. Our findings show significant correlations between respondents' views regarding land management and their social networks; it is these informal structures that have greater influence on what stakeholders perceive. These findings suggest that stakeholders are less influenced by their particular organizational affiliation or category (e.g., ""conservationist"" versus ""farmer""), and more by whom they speak with on a regular basis regarding land management. We conclude with a discussion on the practical implications for resource managers wishing to ""design"" participatory management, arguing that, if ""diversity"" is the goal in designing such participatory processes, then diversity needs to translate beyond stakeholder categories to include consideration for the personal, social networks surrounding stakeholders.",309,1708-3087,WOS:000285917100028
J,"BLAU, PM",MACROSOCIOLOGICAL THEORY OF SOCIAL-STRUCTURE,AMERICAN JOURNAL OF SOCIOLOGY,1977,,298,0002-9602,WOS:A1977DP88200002
S,"Rivera, Mark T.; Soderstrom, Sara B.; Uzzi, Brian","Dynamics of Dyads in Social Networks: Assortative, Relational, and Proximity Mechanisms","ANNUAL REVIEW OF SOCIOLOGY, VOL 36",2010,"Embeddedness in social networks is increasingly seen as a root cause of human achievement, social stratification, and actor behavior. In this article, we review sociological research that examines the processes through which dyadic ties form, persist, and dissolve. Three sociological mechanisms are overviewed: assortative mechanisms that draw attention to the role of actors' attributes, relational mechanisms that emphasize the influence of existing relationships and network positions, and proximity mechanisms that focus on the social organization of interaction.",266,0360-0572,WOS:000281254500005
J,"FELD, SL",SOCIAL STRUCTURAL DETERMINANTS OF SIMILARITY AMONG ASSOCIATES,AMERICAN SOCIOLOGICAL REVIEW,1982,,262,0003-1224,WOS:A1982PU66600010
J,"Rivera, Lauren A.",Hiring as Cultural Matching: The Case of Elite Professional Service Firms,AMERICAN SOCIOLOGICAL REVIEW,2012,"This article presents culture as a vehicle of labor market sorting. Providing a case study of hiring in elite professional service firms, I investigate the often suggested but heretofore empirically unexamined hypothesis that cultural similarities between employers and job candidates matter for employers' hiring decisions. Drawing from 120 interviews with employers as well as participant observation of a hiring committee, I argue that hiring is more than just a process of skills sorting; it is also a process of cultural matching between candidates, evaluators, and firms. Employers sought candidates who were not only competent but also culturally similar to themselves in terms of leisure pursuits, experiences, and self-presentation styles. Concerns about shared culture were highly salient to employers and often outweighed concerns about absolute productivity. I unpack the interpersonal processes through which cultural similarities affected candidate evaluation in elite firms and provide the first empirical demonstration that shared culture-particularly in the form of lifestyle markers-matters for employer hiring. I conclude by discussing the implications for scholarship on culture, inequality, and labor markets.",250,0003-1224,WOS:000311683200007
J,"Handcock, Mark S.; Raftery, Adrian E.; Tantrum, Jeremy M.",Model-based clustering for social networks,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,2007,"Network models are widely used to represent relations between interacting units or actors. Network data often exhibit transitivity, meaning that two actors that have ties to a third actor are more likely to be tied than actors that do not, homophily by attributes of the actors or dyads, and clustering. Interest often focuses on finding clusters of actors or ties, and the number of groups in the data is typically unknown. We propose a new model, the latent position cluster model, under which the probability of a tie between two actors depends on the distance between them in an unobserved Euclidean 'social space', and the actors' locations in the latent social space arise from a mixture of distributions, each corresponding to a cluster. We propose two estimation methods: a two-stage maximum likelihood method and a fully Bayesian method that uses Markov chain Monte Carlo sampling. The former is quicker and simpler, but the latter performs better. We also propose a Bayesian way of determining the number of clusters that are present by using approximate conditional Bayes factors. Our model represents transitivity, homophily by attributes and clustering simultaneously and does not require the number of clusters to be known. The model makes it easy to simulate realistic networks with clustering, which are potentially useful as inputs to models of more complex systems of which the network is part, such as epidemic models of infectious disease. We apply the model to two networks of social relations. A free software package in the R statistical language, latentnet, is available to analyse data by using the model.",240,0964-1998,WOS:000245628500004
J,"Kossinets, Gueorgi; Watts, Duncan J.",Origins of Homophily in an Evolving Social Network,AMERICAN JOURNAL OF SOCIOLOGY,2009,"The authors investigate the origins of homophily in a large university community, using network data in which interactions, attributes, and affiliations are all recorded over time. The analysis indicates that highly similar pairs do show greater than average propensity to form new ties; however, it also finds that tie formation is heavily biased by triadic closure and focal closure, which effectively constrain the opportunities among which individuals may select. In the case of triadic closure, moreover, selection to ""friend of a friend"" status is determined by an analogous combination of individual preference and structural proximity. The authors conclude that the dynamic interplay of choice homophily and induced homophily, compounded over many ""generations"" of biased selection of similar individuals to structurally proximate positions, can amplify even a modest preference for similar others, via a cumulative advantage like process, to produce striking patterns of observed homophily.",238,0002-9602,WOS:000270921400003
J,"Tung, Rosalie L. l; Verbeke, Alain",Beyond Hofstede and GLOBE: Improving the quality of cross-cultural research INTRODUCTION,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2010,,232,0047-2506,WOS:000282944800001
J,"Centola, Damon",An Experimental Study of Homophily in the Adoption of Health Behavior,SCIENCE,2011,"How does the composition of a population affect the adoption of health behaviors and innovations? Homophily-similarity of social contacts-can increase dyadic-level influence, but it can also force less healthy individuals to interact primarily with one another, thereby excluding them from interactions with healthier, more influential, early adopters. As a result, an important network-level effect of homophily is that the people who are most in need of a health innovation may be among the least likely to adopt it. Despite the importance of this thesis, confounding factors in observational data have made it difficult to test empirically. We report results from a controlled experimental study on the spread of a health innovation through fixed social networks in which the level of homophily was independently varied. We found that homophily significantly increased overall adoption of a new health behavior, especially among those most in need of it.",226,0036-8075,WOS:000297553600048
J,"Sherchan, Wanita; Nepal, Surya; Paris, Cecile",A Survey of Trust in Social Networks,ACM COMPUTING SURVEYS,2013,"Web-based social networks have become popular as a medium for disseminating information and connecting like-minded people. The public accessibility of such networks with the ability to share opinions, thoughts, information, and experience offers great promise to enterprises and governments. In addition to individuals using such networks to connect to their friends and families, governments and enterprises have started exploiting these platforms for delivering their services to citizens and customers. However, the success of such attempts relies on the level of trust that members have with each other as well as with the service provider. Therefore, trust becomes an essential and important element of a successful social network. In this article, we present the first comprehensive review of social and computer science literature on trust in social networks. We first review the existing definitions of trust and define social trust in the context of social networks. We then discuss recent works addressing three aspects of social trust: trust information collection, trust evaluation, and trust dissemination. Finally, we compare and contrast the literature and identify areas for further research in social trust.",225,0360-0300,WOS:000327934000007
J,"KERCKHOFF, AC; DAVIS, KE",VALUE CONSENSUS AND NEED COMPLEMENTARITY IN MATE SELECTION,AMERICAN SOCIOLOGICAL REVIEW,1962,,221,0003-1224,WOS:A1962CBJ8000001
J,"Burt, RS",Bridge decay,SOCIAL NETWORKS,2002,"This paper is about three points: network bridges are critical to the advantage known as social capital, bridges relative to other kinds of relationships show faster rates of decay over time, and the faster decay in bridges has implications for the stability of social capital. A bridge connects people not otherwise connected; in other words, it spans a structural hole in the surrounding organization. I have 4 years of data on the social networks of bankers in a large organization. I show that bridge relations are associated with more positive peer reputations and higher compensation, but bridges decay at an alarming rate. Out of 10, 9 bridges this year are gone next year. I describe factors in the rate of decay, find slower decay in the networks of bankers experienced with bridge relationships, and conclude that social capital accrues to those who already have it. An appendix is included on the kinked decay functions observed in contractual bridge relationships. (C) 2002 Elsevier Science B.V. All rights reserved.",220,0378-8733,WOS:000177947300003
J,"Lynall, MD; Golden, BR; Hillman, AJ",Board composition from adolescence to maturity: A multitheoretic view,ACADEMY OF MANAGEMENT REVIEW,2003,"We develop theory to show how board composition and, consequently, firm performance are a reflection of both the firm's life cycle stage and the relative power of the CEO and external financiers at the time of founding. This theory provides insight into the predictive validity of agency, resource dependence, institutional, and social network theories. We also argue that boards are subject to path dependency, and, thus, board composition is likely to persist over time.",217,0363-7425,WOS:000183707800007
J,"Macskassy, Sofus A.; Provost, Foster",Classification in networked data: A toolkit and a univariate case study,JOURNAL OF MACHINE LEARNING RESEARCH,2007,"This paper is about classifying entities that are interlinked with entities for which the class is known. After surveying prior work, we present NetKit, a modular toolkit for classification in networked data, and a case-study of its application to networked data used in prior machine learning research. NetKit is based on a node-centric framework in which classifiers comprise a local classifier, a relational classifier, and a collective inference procedure. Various existing node-centric relational learning algorithms can be instantiated with appropriate choices for these components, and new combinations of components realize new algorithms. The case study focuses on univariate network classification, for which the only information used is the structure of class linkage in the network (i.e., only links and some class labels). To our knowledge, no work previously has evaluated systematically the power of class-linkage alone for classification in machine learning benchmark data sets. The results demonstrate that very simple network-classification models perform quite well-well enough that they should be used regularly as baseline classifiers for studies of learning with networked data. The simplest method (which performs remarkably well) highlights the close correspondence between several existing methods introduced for different purposes-that is, Gaussian-field classifiers, Hopfield networks, and relational-neighbor classifiers. The case study also shows that there are two sets of techniques that are preferable in different situations, namely when few versus many labels are known initially. We also demonstrate that link selection plays an important role similar to traditional feature selection.",216,1532-4435,WOS:000248351700002
J,"Currarini, Sergio; Jackson, Matthew O.; Pin, Paolo","An Economic Model of Friendship: Homophily, Minorities, and Segregation",ECONOMETRICA,2009,"We develop a model of friendship formation that sheds light on segregation patterns observed in social and economic networks. Individuals have types and see type-dependent benefits from friendships. We examine the properties of a steady-state equilibrium of a matching process of friendship formation. We use the model to understand three empirical patterns of friendship formation: (i) larger groups tend to form more same-type ties and fewer other-type ties than small groups, (ii) larger groups form more ties per capita, and (iii) all groups are biased towards same-type relative to demographics, with the most extreme bias coming from middle-sized groups. We show how these empirical observations can be generated by biases in preferences and biases in meetings. We also illustrate some welfare implications of the model.",212,0012-9682,WOS:000268218600001
J,"HOCH, SJ",PERCEIVED CONSENSUS AND PREDICTIVE ACCURACY - THE PROS AND CONS OF PROJECTION,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,1987,,203,0022-3514,WOS:A1987J614200001
J,"KALMIJN, M",STATUS HOMOGAMY IN THE UNITED-STATES,AMERICAN JOURNAL OF SOCIOLOGY,1991,,202,0002-9602,WOS:A1991GH30300007
J,"Shore, Lynn M.; Chung-Herrera, Beth G.; Dean, Michelle A.; Ehrhart, Karen Holcombe; Jung, Don I.; Randel, Amy E.; Singh, Gangaram",Diversity in organizations: Where are we now and where are we going?,HUMAN RESOURCE MANAGEMENT REVIEW,2009,"A great deal of research has focused on workforce diversity. Despite an increasing number of studies, few consistent conclusions have yet to be reached about the antecedents and outcomes of diversity. Likewise, research on different dimensions of diversity (e.g., age, race, gender, sexual orientation, disability, and culture) has mostly evolved independently. Therefore, the purpose of this review is to examine each of these dimensions of diversity to describe common themes across dimensions and to develop an integrative model of diversity. (C) 2008 Elsevier Inc. All rights reserved.",192,1053-4822,WOS:000281648900006
J,"McDonald, ML; Westphal, JD",Getting by with the advice of their friends: CEOs' advice networks and firms' strategic responses to poor performance,ADMINISTRATIVE SCIENCE QUARTERLY,2003,"This paper theorizes that relatively poor firm performance can prompt chief executive officers (CEOs) to seek more advice from executives of other firms who are their friends or similar to them and less advice from acquaintances or dissimilar others and suggests how and why this pattern of advice seeking could reduce firms' propensity to change corporate strategy in response to poor performance. We test our hypotheses with large-sample survey data on the identities of CEOs' advice contacts and archival data on firm performance and corporate strategy. The results confirm our hypotheses and show that executives' social network ties can influence firms' responses to economic adversity, in particular by inhibiting strategic change in response to relatively poor firm performance. Additional findings indicate that CEOs' advice seeking in response to low performance may ultimately have negative consequences for subsequent performance, suggesting how CEOs' social network ties could play an indirect role in organizational decline and downward spirals in firm performance.",189,0001-8392,WOS:000186856600001
J,"Kane, Gerald C.; Alavi, Maryam; Labianca, Giuseppe (Joe); Borgatti, Stephen P.",WHAT'S DIFFERENT ABOUT SOCIAL MEDIA NETWORKS? A FRAMEWORK AND RESEARCH AGENDA,MIS QUARTERLY,2014,"In recent years, we have witnessed the rapid proliferation and widespread adoption of a new class of information technologies, commonly known as social media. Researchers often rely on social network analysis (SNA) when attempting to understand these technologies, often without considering how the novel capabilities of social media platforms might affect the underlying theories of SNA, which were developed primarily through studies of offline social networks. This article outlines several key differences between traditional offline social networks and online social media networks by juxtaposing an established typology of social network research with a well-regarded definition of social media platforms that articulates four key features. The results show that at four major points of intersection, social media has considerable theoretical implications for SNA. In exploring these points of intersection, this study outlines a series of theoretically distinct research questions for SNA in social media contexts. These points of intersection offer considerable opportunities for researchers to investigate the theoretical implications introduced by social media and lay the groundwork for a robust social media agenda potentially spanning multiple disciplines.",184,0276-7783,WOS:000342493400014
J,"Burt, RS",Decay functions,SOCIAL NETWORKS,2000,"The tendency for relationships to weaken and disappear I discuss as decay, and functions describing the rate of decay over time I discuss as decay functions. Three conclusions are supported with 4 years of network data on a study population of bankers and their colleagues in a financial organization. (1) Factors known from cross-sectional evidence to be associated with strong relationships are associated with slow decay; decay is slower in relations between colleagues with a strong prior relationship (inertia), working in the same corporate division (homophily), prominent in the social hierarchy of bankers (status), or connected indirectly through many third parties (embedding). (2) Regardless of slower decay in certain relations, decay has a pattern over time similar to the population ecology ""liability of newness"" attributed to selection and learning, with the added complication of networks and people aging simultaneously. Decay is a power function of time in which the probability of decay decreases with tie age (years for which a relationship has existed) and node age (years for which a banker has been in the study population). (3) Embedding stability is responsible for the greater stability of older relationships. The decay-inhibiting effects of age occur where embedding is disrupted but not where embedding is continuous. The third conclusion is interesting in highlighting the first derivative of social structure as a causal variable: embedding has to be measured for its change, rather than level, to see both of its distinct effects on relationship decay. (C) 2000 Elsevier Science B.V. All rights reserved.",184,0378-8733,WOS:000087144500001
J,"Centola, Damon; Gonzalez-Avella, Juan Carlos; Eguiluz, Victor M.; San Miguel, Maxi","Homophily, cultural drift and the co-evolution of cultural groups",JOURNAL OF CONFLICT RESOLUTION,2007,"Studies of cultural differentiation have shown that social mechanisms that normally lead to cultural convergence - homophily and influence - can also explain how distinct cultural groups can form. However, this emergent cultural diversity has proven to be unstable in the face of cultural drift - small errors or innovations that allow cultures to change from within. The authors develop a model of cultural differentiation that combines the traditional mechanisms of homophily and influence with a third mechanism of network homophily, in which network structure co-evolves with cultural interaction. Results show that in certain regions of the parameter space, these co-evolutionary dynamics can lead to patterns of cultural diversity that are stable in the presence of cultural drift. The authors address the implications of these findings for understanding the stability of cultural diversity in the face of increasing technological trends toward globalization.",174,0022-0027,WOS:000251065700004
J,"SILVER, A",FRIENDSHIP IN COMMERCIAL SOCIETY - 18TH-CENTURY SOCIAL-THEORY AND MODERN SOCIOLOGY,AMERICAN JOURNAL OF SOCIOLOGY,1990,,166,0002-9602,WOS:A1990DE00500005
J,"Colleoni, Elanor; Rozza, Alessandro; Arvidsson, Adam",Echo Chamber or Public Sphere? Predicting Political Orientation and Measuring Political Homophily in Twitter Using Big Data,JOURNAL OF COMMUNICATION,2014,"This paper investigates political homophily on Twitter. Using a combination of machine learning and social network analysis we classify users as Democrats or as Republicans based on the political content shared. We then investigate political homophily both in the network of reciprocated and nonreciprocated ties. We find that structures of political homophily differ strongly between Democrats and Republicans. In general, Democrats exhibit higher levels of political homophily. But Republicans who follow official Republican accounts exhibit higher levels of homophily than Democrats. In addition, levels of homophily are higher in the network of reciprocated followers than in the nonreciprocated network. We suggest that research on political homophily on the Internet should take the political culture and practices of users seriously.",156,0021-9916,WOS:000334367600009
J,"Sorenson, O; Fleming, L",Science and the diffusion of knowledge,RESEARCH POLICY,2004,"Scientists, social scientists and politicians frequently credit basic science with stimulating technological innovation, and with it economic growth. Despite a substantial body of research investigating this general relationship, relatively little empirical attention has been given to understanding the mechanisms that might generate this linkage. This paper considers whether more rapid diffusion of knowledge, brought about by the norm of publication, might account for part of this effect. We identify the importance of publication by comparing the patterns of citations from future patents to three groups of focal patents: (i) those that reference scientific (peer-reviewed) publications, (ii) those that reference commercial (non-scientific) publications; and (iii) those that reference neither. Our analyses strongly implicate publication as an important mechanism for accelerating the rate of technological innovation: Patents that reference published material, whether peer-reviewed or not, receive more citations, primarily because their influence diffuses faster in time and space. (C) 2004 Elsevier B.V. All rights reserved.",146,0048-7333,WOS:000226708200011
J,"Burk, William J.; Steglich, Christian E. G.; Snijders, A. B.",Beyond dyadic interdependence: Actor-oriented models for co-evolving social networks and individual behaviors,INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,2007,"Actor-oriented models are described as a longitudinal strategy for examining the co-evolution of social networks and individual behaviors. We argue that these models provide advantages over conventional approaches due to their ability to account for inherent dependencies between individuals embedded in a social network (i.e., reciprocity, transitivity) and model interdependencies between network and behavioral dynamics. We provide a brief explanation of actor-oriented processes, followed by a description of parameter estimates, model specification, and selection procedures used by the Simulation Investigation for Empirical Network Analyses (SIENA) software program (Snijders, Steglich, Schweinberger, & Huisman, 2006). To illustrate the applicability of these models, we provide an empirical example investigating the co-evolution of friendship networks and delinquent behaviors in a longitudinal sample of Swedish adolescents with the goal of simultaneously assessing selection and influence processes. Findings suggest both processes play a substantive role in the observed dynamics of delinquent behaviors, with influence having a relatively stronger role than selection (especially in reciprocated friendships).",143,0165-0254,WOS:000248948600011
