PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Fox, J",,,,"Fox, J",,,How does civil society thicken? The political construction of social capital in rural Mexico,WORLD DEVELOPMENT,,,,,"Conference on Government Action, Social Capital Formation, and 3rd-World Development","MAY 05-06, 1995","CAMBRIDGE, MA","Econ Dev Working Grp, Social Capital & Public Affairs Project",,,,"The growth of the building-block organizations of an autonomous civil society in an authoritarian environment depends on the ''political construction'' of social capital. Social capital can be coproduced by state and local societal actors or by the interaction of local societal actors and external actors in civil society. Social capital may also be produced from below, but external allies still turn out to be crucial in the ability of such organizations to survive. An examination of variety in political dynamics across different regions and over time in rural Mexico provides ample illustration of these general points. Copyright (C) 1996 Elsevier Science Ltd",,,,,,,,,,,,,,,,,0305-750X,,,,,JUN,1996,24,6,,,,,1089,1103,,10.1016/0305-750X(96)00025-3,,,,,,,WOS:A1996UW25900010,,,,,
J,"Ter Wal, ALJ; Boschma, RA",,,,"Ter Wal, Anne L. J.; Boschma, Ron A.",,,Applying social network analysis in economic geography: framing some key analytic issues,ANNALS OF REGIONAL SCIENCE,,,,,,,,,,,,"Social network analysis attracts increasing attention in economic geography. We claim social network analysis is a promising tool for empirically investigating the structure and evolution of inter-organizational interaction and knowledge flows within and across regions. However, the potential of the application of network methodology to regional issues is far from exhausted. The aim of our paper is twofold. The first objective is to shed light on the untapped potential of social network analysis techniques in economic geography: we set out some theoretical challenges concerning the static and dynamic analysis of networks in geography. Basically, we claim that network analysis has a huge potential to enrich the literature on clusters, regional innovation systems and knowledge spillovers. The second objective is to describe how these challenges can be met through the application of network analysis techniques, using primary (survey) and secondary (patent) data. We argue that the choice between these two types of data has strong implications for the type of research questions that can be dealt with in economic geography, such as the feasibility of dynamic network analysis.",,,,"Ter Wal, Anne/B-4940-2008","Ter Wal, Anne/0000-0002-6041-6898",,,,,,,,,,,,0570-1864,,,,,SEP,2009,43,3,,,,,739,756,,10.1007/s00168-008-0258-3,,,,,,,WOS:000268281400009,,,,,
J,"Ruef, M",,,,"Ruef, M",,,"Strong ties, weak ties and islands: structural and cultural predictors of organizational innovation",INDUSTRIAL AND CORPORATE CHANGE,,,,,,,,,,,,"How does the tendency of entrepreneurs to engage in innovation relate to their structural and cultural embeddedness? Using micro-data on entrepreneurial teams and the organizational innovations they attempt to develop, this article presents a predictive model of creative action to address this question. Capacity for creative action is seen to be a function of the ability of entrepreneurs to (i) obtain non-redundant information from their social networks; (ii) avoid pressures for conformity; and (iii) sustain trust in developing novel-and potentially profitable-innovations. Probit analyses of over 700 organizational startups suggest that these mechanisms exercise effects on innovation via the network ties and enculturation of entrepreneurs.",,,,"Hoek, Carien/K-9106-2013",,,,,,,,,,,,,0960-6491,1464-3650,,,,JUN,2002,11,3,,,,,427,449,,10.1093/icc/11.3.427,,,,,,,WOS:000176482000002,,,,,
J,"Morrison, A",,,,"Morrison, Andrea",,,"Gatekeepers of knowledge within industrial districts: Who they are, how they interact",REGIONAL STUDIES,,,,,,,,,,,,"Studies on industrial districts suggest that their innovative performance is strictly linked to their ability to absorb external knowledge. Yet, the existing literature provides few insights into the functioning of this process. This paper, focusing on leader firms located in a successful Italian furniture district, investigates whether they feed the district with knowledge absorbed from external sources, thereby behaving as 'gatekeepers of knowledge'. Findings show that leader firms are well connected with knowledge sources; yet, linkages with districts firms are far more limited as are informal exchanges that, when they do occur, are mostly restricted to generic information.",,,,,"Morrison, Andrea/0000-0002-1878-6780",,,,,,,,,,,,0034-3404,,,,,,2008,42,6,,,,,817,835,,10.1080/00343400701654178,,,,,,,WOS:000257336500004,,,,,
J,"Hoberg, G; Phillips, G",,,,"Hoberg, Gerard; Phillips, Gordon",,,Product Market Synergies and Competition in Mergers and Acquisitions: A Text-Based Analysis,REVIEW OF FINANCIAL STUDIES,,,,,,,,,,,,"We use text-based analysis of 10-K product descriptions to examine whether firms exploit product market synergies through asset complementarities in mergers and acquisitions. Transactions are more likely between firms that use similar product market language. Transaction stock returns, ex post cash flows, and growth in product descriptions all increase for transactions with similar product market language, especially in competitive product markets. These gains are larger when targets are less similar to acquirer rivals and when targets have unique products. Our findings are consistent with firms merging and buying assets to exploit synergies to create new products that increase product differentiation.",,,,"Phillips, Gordon/E-4636-2011; Hoberg, Gerard/F-9117-2010","Hoberg, Gerard/0000-0001-5104-9689",,,,,,,,,,,,0893-9454,,,,,OCT,2010,23,10,,,,,3773,3811,,10.1093/rfs/hhq053,,,,,,,WOS:000281955000007,,,,,
J,"Acemoglu, D; Dahleh, MA; Lobel, I; Ozdaglar, A",,,,"Acemoglu, Daron; Dahleh, Munther A.; Lobel, Ilan; Ozdaglar, Asuman",,,Bayesian Learning in Social Networks,REVIEW OF ECONOMIC STUDIES,,,,,,,,,,,,"We study the (perfect Bayesian) equilibrium of a sequential learning model over a general social network. Each individual receives a signal about the underlying state of the world, observes the past actions of a stochastically generated neighbourhood of individuals, and chooses one of two possible actions. The stochastic process generating the neighbourhoods defines the network topology. We characterize pure strategy equilibria for arbitrary stochastic and deterministic social networks and characterize the conditions under which there will be asymptotic learning-convergence (in probability) to the right action as the social network becomes large. We show that when private beliefs are unbounded (meaning that the implied likelihood ratios are unbounded), there will be asymptotic learning as long as there is some minimal amount of ""expansion in observations"". We also characterize conditions under which there will be asymptotic learning when private beliefs are bounded.",,,,,,,,,,,,,,,,,0034-6527,,,,,OCT,2011,78,4,,,,,1201,1236,,10.1093/restud/rdr004,,,,,,,WOS:000296132900002,,,,,
J,"Bramoulle, Y; Kranton, R",,,,"Bramoulle, Yann; Kranton, Rachel",,,Public goods in networks,JOURNAL OF ECONOMIC THEORY,,,,,,,,,,,,"This paper considers incentives to provide goods that are non-excludable along social or geographic links. We find, first, that networks can lead to specialization in public good provision. In every social network there is an equilibrium where some individuals contribute and others free ride. In many networks, this extreme is the only outcome. Second, specialization can benefit society as a whole. This outcome arises when contributors are linked, collectively, to many agents. Finally, a new link increases access to public goods, but reduces individual incentives to contribute. Hence, overall welfare can be higher when there are holes in a network. (c) 2006 Elsevier Inc. All rights reserved.",,,,,,,,,,,,,,,,,0022-0531,,,,,JUL,2007,135,1,,,,,478,494,,10.1016/j.jet.2006.06.006,,,,,,,WOS:000248395200022,,,,,
J,"Kremer, M; Miguel, E",,,,"Kremer, Michael; Miguel, Edward",,,The illusion of sustainability,QUARTERLY JOURNAL OF ECONOMICS,,,,,,,,,,,,"We use a randomized evaluation of a Kenyan deworming program to estimate peer effects in technology adoption and to shed light on foreign aid donors' movement towards sustainable community provision of public goods. Deworming is a public good since much of its social benefit comes through reduced disease transmission. People were less likely to take deworming if their direct first-order or indirect second-order social contacts were exposed to deworming. Efforts to replace subsidies with sustainable worm control measures were ineffective: a drug cost-recovery program reduced take-up 80 percent; health education did not affect behavior, and a mobilization intervention failed. At least in this context, it appears unrealistic for a one-time intervention to generate sustainable voluntary local public goods provision.",,,,,"Miguel, Edward/0000-0001-6927-709X",,,,,,,,,,,,0033-5533,1531-4650,,,,AUG,2007,122,3,,,,,1007,1065,,10.1162/qjec.122.3.1007,,,,,,,WOS:000248618600004,,,,,
J,"Potts, J; Cunningham, S; Hartley, J; Ormerod, P",,,,"Potts, Jason; Cunningham, Stuart; Hartley, John; Ormerod, Paul",,,Social network markets: a new definition of the creative industries,JOURNAL OF CULTURAL ECONOMICS,,,,,,,,,,,,"We propose a new definition of the creative industries in terms of social network markets. The extant definition of the creative industries is based on an industrial classification that proceeds in terms of the creative nature of inputs and the intellectual property nature of outputs. We propose, instead, a new market-based definition in terms of the extent to which both demand and supply operate in complex social networks. We review and critique the standard creative industries definitions and explain why we believe a market-based social network definition offers analytic advance. We discuss some empirical, analytic and policy implications of this new definition.",,,,"potts, jason/L-6530-2015; Hartley, John/R-6361-2019","potts, jason/0000-0003-1468-870X; Hartley, John/0000-0001-5987-8190; Cunningham, Stuart/0000-0002-7437-1424",,,,,,,,,,,,0885-2545,,,,,SEP,2008,32,3,,,,,167,185,,10.1007/s10824-008-9066-y,,,,,,,WOS:000258656100001,,,,,
J,"Scott, A",,,,"Scott, A",,,"Entrepreneurship, innovation and industrial development: Geography and the creative field revisited",SMALL BUSINESS ECONOMICS,,,,,,,,,,,,"Creative destruction is a central element of the competitive dynamic of capitalism. This phenomenon assumes concrete form in relation to specific geographical and historical conditions. One such set of conditions is investigated here under the rubric of the creative field, i.e. the locationally-differentiated web of production activities and associated social relationships that shapes patterns of entrepreneurship and innovation in the new economy. The creative field operates at many different levels of scale, but I argue that the urban and regional scale is of special interest and significance. Accordingly, I go on to describe how the creative field functions as a site of (a) entrepreneurial behavior and new firm formation, (b) technical and organizational change, and (c) the symbolic elaboration and re-elaboration of cultural products. All of these activities are deeply structured by relations of spatial-cum-organizational proximity and separation in the system of production. The creative field, however, is far from being a fully self-organizing entity, and it is susceptible to various kinds of breakdowns and distortions. Several policy issues raised by these problems are examined. The paper ends by addressing the question as to whether industrial agglomeration is an effect of producers' search for creative synergies, or whether such synergies are themselves simply a contingent outcome of agglomeration.",,,,"Scott, Allen J/A-8111-2008","Scott, Allen/0000-0002-8742-5970",,,,,,,,,,,,0921-898X,,,,,FEB,2006,26,1,,,,,1,24,,10.1007/s11187-004-6493-9,,,,,,,WOS:000234459100001,,,,,
J,"Ter Wal, ALJ; Boschma, R",,,,"Ter Wal, Anne L. J.; Boschma, Ron",,,"Co-evolution of Firms, Industries and Networks in Space",REGIONAL STUDIES,,,,,,,,,,,,"TERWAL A. L. J. and BOSCHMA R. Co-evolution of firms, industries and networks in space, Regional Studies. The cluster literature suffers from a number of shortcomings: (1) it often neglects that cluster firms are heterogeneous in terms of capabilities; (2) it tends to overemphasize the importance of geographical proximity and underestimates the role of networks; and (3) it hardly addresses the origins and evolution of clusters. The authors propose a theoretical framework that brings together the literature on clusters, industrial dynamics, the evolutionary theory of the firm, and network theory. It is described how clusters co-evolve with: (1) the industry with to they adhere; (2) the capabilities of the firms they contain; and (3) the industry-wide knowledge network of which they are part.",,,,"Ter Wal, Anne/B-4940-2008","Ter Wal, Anne/0000-0002-6041-6898",,,,,,,,,,,,0034-3404,,,,,,2011,45,7,,,SI,,919,933,,10.1080/00343400802662658,,,,,,,WOS:000292922700004,,,,,
J,"Sorenson, O",,,,"Sorenson, O",,,Social networks and industrial geography,JOURNAL OF EVOLUTIONARY ECONOMICS,,,,,9th International Joseph-A-Schumpter-Society Conference,2002,"UNIV FLORIDA, GAINESVILLE, FLORIDA",Joseph A Schumpter Soc,UNIV FLORIDA,,,"In many industries, production resides in a small number of highly concentrated regions; for example, several high tech industries cluster in Silicon Valley. Explanations for this phenomenon have focused on how the co-location of firms in an industry might increase the efficiency of production. In contrast, this article argues that industries cluster because entrepreneurs find it difficult to access the information and resources they require when they reside far from the sources of these valuable inputs. Since existing firms often represent the largest pools of these important factors, the current geographic distribution of production places important constraints on entrepreneurial activity. As a result, new foundings tend to arise in the same areas as existing ones, and hence reproduce the industrial geography. In support of this thesis, the article reviews empirical evidence from the shoe manufacturing and biotechnology industries.",,,,"Sorenson, Olav/C-6926-2011","Sorenson, Olav/0000-0002-0599-6738",,,,,,,,,,,,0936-9937,,,,,DEC,2003,13,5,,,,,513,527,,10.1007/s00191-003-0165-9,,,,,,,WOS:000186904400005,,,,,
J,"Bosma, N; Hessels, J; Schutjens, V; Van Praag, M; Verheul, I",,,,"Bosma, Niels; Hessels, Jolanda; Schutjens, Veronique; Van Praag, Mirjam; Verheul, Ingrid",,,Entrepreneurship and role models,JOURNAL OF ECONOMIC PSYCHOLOGY,,,,,,,,,,,,"In the media role models are increasingly being acknowledged as an influential factor in explaining the reasons for the choice of occupation and career. Various conceptual studies have proposed links between role models and entrepreneurial intentions. However, empirical research aimed at establishing the importance of role models for (nascent) entrepreneurs is scarce. Knowledge of the presence of entrepreneurial role models, their specific functions and characteristics is therefore limited. Our explorative empirical study is a first step towards filling this gap. Our study is based on the outcomes of a questionnaire completed by a representative sample of 292 entrepreneurs in three major Dutch cities - entrepreneurs who have recently started up a business in the retail, hotel and restaurant sectors, business services and other services. We provide indications of the presence and importance of entrepreneurial role models, the function of these role models, the similarity between the entrepreneur and the role model, and the strength of their relationship. (C) 2011 Elsevier B.V. All rights reserved.",,,,,"Bosma, Niels/0000-0003-1977-7680",,,,,,,,,,,,0167-4870,1872-7719,,,,APR,2012,33,2,,,SI,,410,424,,10.1016/j.joep.2011.03.004,,,,,,,WOS:000301829900008,,,,,
J,"Grabher, G; Stark, D",,,,"Grabher, G; Stark, D",,,"Organizing diversity: Evolutionary theory, network analysis and postsocialism",REGIONAL STUDIES,,,,,,,,,,,,"In contrast to the dominant transition framework that examines organizational forms in Eastern Europe according to the degree to which they conform to, or depart from the blueprints of already existing capitalisms, this paper examines the innovative character, born of necessity, in which actors in the postsocialist setting are restructuring by redefining and recombining resources. Instead of conceiving these recombinations as accidental aberrations, it explores their evolutionary potentials. Its starting premise is that the actual unit of entrepreneurship is not the isolated individual personality but the social networks that link firms and the actors within them. Drawing on recent developments in evolutionary theory, it cautions that although all-encompassing privatization and marketization might foster adaptation in the short run, the consequent loss of organizational diversity will impede adaptability in the long run.",,,,,,,,,,,,,,,,,0034-3404,1360-0591,,,,JUL,1997,31,5,,,,,533,544,,10.1080/00343409750132315,,,,,,,WOS:A1997XM46700008,,,,,
J,"Broekel, T; Boschma, R",,,,"Broekel, Tom; Boschma, Ron",,,Knowledge networks in the Dutch aviation industry: the proximity paradox,JOURNAL OF ECONOMIC GEOGRAPHY,,,,,,,,,,,,"The importance of geographical proximity for interaction and knowledge sharing has been discussed extensively in recent years. There is increasing consensus that geographical proximity is just one out of many types of proximities that might be relevant. We argue that proximity may be a crucial driver for agents to connect and exchange knowledge, but too much proximity between agents on any of the dimensions might harm their innovative performance at the same time. In a study on knowledge networks in the Dutch aviation industry, we test this so-called proximity paradox empirically. We found evidence that the proximity paradox holds to a considerable degree. Our study clearly showed that cognitive, social, organizational and geographical proximity were crucial for explaining the knowledge network of the Dutch aviation industry. However, we found strong evidence that too much cognitive proximity lowered firms' innovative performance, and organizational proximity did not have an effect.",,,,"Broekel, Tom/K-7048-2014",,,,,,,,,,,,,1468-2702,,,,,MAR,2012,12,2,,,,,409,433,,10.1093/jeg/lbr010,,,,,,,WOS:000300440400004,,,,,
J,"Ettlinger, N",,,,"Ettlinger, N",,,"Cultural economic geography and a relational and microspace approach to trusts, rationalities, networks, and change in collaborative workplaces",JOURNAL OF ECONOMIC GEOGRAPHY,,,,,98th Annual Meeting of the Association-of-American-Geographers,"MAR 19-23, 2002","LOS ANGELES, CALIFORNIA",Assoc Amer Geographers,,,,"This paper develops a relational, microspace framework to explain how social interaction (in and outside of workplaces) affects decision making, behavior, and performance in collaborative work. The transfer of critical intangible resources such as trust, across persons outside conventional loci of power in overlapping social networks, entails an evolution of different types of trust. Bridging networks informally on a bottom-up basis depends on complementary social relations and the transformation of trusts based on different rationalities formed in different places and social networks. Understanding collaboration can help as much in constructing positive change as in thwarting destructive, discriminatory work practices.",,,,,,,,,,,,,,,,,1468-2702,,,,,APR,2003,3,2,,,,,145,171,,10.1093/jeg/3.2.145,,,,,,,WOS:000182445600003,,,,,
J,"Knox, H; Savage, M; Harvey, P",,,,"Knox, H; Savage, M; Harvey, P",,,"Social networks and the study of relations: networks as method, metaphor and form",ECONOMY AND SOCIETY,,,,,,,,,,,,"Networks have recently become fashionable in social analysis but most of the new network approaches have paid scant attention to the long history of reflections upon the potential of networks as an analytical device in the social sciences. In this paper we chart the developments in networking thinking in two disciplinary areas - social network analysis and social anthropology - in order to highlight the enduring difficulties and problems with network thinking as well as its potential. The first half of the paper explores the uses of network approaches over the past fifty years, situating theoretical and methodological questions in their broader disciplinary contexts. The authors then show how emerging issues from both bodies of work offer the promise of new kinds of networking thinking.",,,,,,,,,,,,,,,,,0308-5147,,,,,FEB,2006,35,1,,,,,113,140,,10.1080/03085140500465899,,,,,,,WOS:000235473300006,,,,,
