AU,AF,TI,AB,SN,EI,PD,PY,VL,IS,BP,EP,AR,DI,UT
"Sambamurthy, V; Bharadwaj, A; Grover, V","Sambamurthy, V; Bharadwaj, A; Grover, V",Shaping agility through digital options: Reconceptualizing the role of information technology in contemporary firms,"Agility is vital to the innovation and competitive performance of firms in contemporary business environments. Firms are increasingly relying on information technologies, including process, knowledge, and communication technologies, to enhance their agility. The purpose of this paper is to broaden understanding about the strategic role of IT by examining the nomological network of influences through which IT impacts firm perfor By drawing upon recent thinking in the mance, strategy, - entrepreneurship, and IT management literatures, this paper uses a multitheoretic lens to argue that information technology. investments and. capabilities influence firm performance through three significant organizational capabilities (agility, digital options, and entrepreneurial alertness) and strategic processes (capability-, building, entrepreneurial action, and,coevolutionary adaptation). We also propose that these, dynamic capabilities and strategic processes impact the ability of firms. to launch many and varied competitive actions and that, in. turn, these competitive actions are a significant antecedent of firm Performance. Through our theorizing, we draw attention to a significant and reframed role of IT as a digital options generator in contemporary firms.",0276-7783,,JUN,2003,27,2,237,263,,,WOS:000183386200004
"McEvily, B; Zaheer, A","McEvily, B; Zaheer, A",Bridging ties: A source of firm heterogeneity in competitive capabilities,"What explains differences in firms' abilities to acquire competitive capabilities? In this paper we propose that a firm's embeddedness in a network of ties is an important source of variation in the acquisition of competitive capabilities. We argue that firms in geographical clusters that maintain networks rich in bridging ties and sustain ties to regional institutions are well-positioned to access new information ideas, and opportunities Hypotheses based on these ideas were tested on a stratified random sample of 227 job shop manufacturers located in the Midwest United States. Data were gathered using a mailed questionnaire. Results from structural equation modeling broadly support the embeddedness hypotheses and suggest a number of insights about the link between firms' networks and the acquisition of competitive capabilities. Copyright (C) 1999 John Wiley & Sons, Ltd.",0143-2095,1097-0266,DEC,1999,20,12,1133,1156,,10.1002/(SICI)1097-0266(199912)20:12<1133::AID-SMJ74>3.0.CO;2-7,WOS:000083983900003
"Rowley, T; Behrens, D; Krackhardt, D","Rowley, T; Behrens, D; Krackhardt, D",Redundant governance structures: An analysis of structural and relational embeddedness in the steel and semiconductor industries,"Network researchers have argued that both relational embeddedness-characteristics of relationships-and structural embeddedness-characteristics of the relational structure-influence Jinn behavior and performance. Using strategic alliance networks in the semiconductor and steel industries, we build on past embeddedness research by examining the interaction of these factors. We argue that the roles relational and structural embeddedness play in firm performance can only be understood with reference to the other. Moreover, we argue that the influence of these factors on firm performance is contingent on industry context. More specifically, our empirical analysis suggests that strong ties in a highly interconnected strategic alliance network negatively impact firm performance. This network configuration is especially suboptimal for firms in the semiconductor industry. Furthermore, strong and weak ties are positively related to firm performance in the steel and semiconductor industries, respectively. Copyright (C) 2000 John Wiley & Sons, Ltd.",0143-2095,1097-0266,MAR,2000,21,3,369,386,,10.1002/(SICI)1097-0266(200003)21:3<369::AID-SMJ93>3.0.CO;2-M,WOS:000085900800009
"Borgatti, SP; Cross, R","Borgatti, SP; Cross, R",A relational view of information seeking and learning in social networks,"Research in organizational learning has demonstrated processes and occasionally performance implications of acquisition of declarative (know-what) and procedural (know-how) knowledge. However, considerably less attention has been paid to learned characteristics of relationships that affect the decision to seek information from other people. Based on a review of the social network, information processing, and organizational learning literatures, along with the results of a previous qualitative study, we propose a formal model of information seeking in which the probability of seeking information from another person is a function of (1) knowing what that person knows; (2) valuing what that person knows; (3) being able to gain timely access to that person's thinking; and (4) perceiving that seeking information from that person would not be too costly. We also hypothesize that the knowing, access, and cost variables mediate the relationship between physical proximity and information seeking. The model is tested using two separate research sites to provide replication. The results indicate strong support for the model and the mediation hypothesis (with the exception of the cost variable). Implications are drawn for the study of both transactive memory and organizational learning, as well as for management practice.",0025-1909,,APR,2003,49,4,432,445,,10.1287/mnsc.49.4.432.14428,WOS:000182677200007
"Leana, CR; Van Buren, HJ","Leana, CR; Van Buren, HJ",Organizational social capital and employment practices,"We introduce the construct of organizational social capital and develop a model of its components and consequences. Organizational social capital is defined as a resource reflecting the character of social relations within the organization. It is realized through members' levels of collective goal orientation and shared trust, which create value by facilitating successful collective action: We discuss employment practices as primary mechanisms by which social capital is fostered or discouraged within organizations.",0363-7425,1930-3807,JUL,1999,24,3,538,555,,10.5465/AMR.1999.2202136,WOS:000081464600010
"PROVAN, KG; MILWARD, HB","PROVAN, KG; MILWARD, HB",A PRELIMINARY THEORY OF INTERORGANIZATIONAL NETWORK EFFECTIVENESS - A COMPARATIVE-STUDY OF 4 COMMUNITY MENTAL-HEALTH SYSTEMS,"This paper presents the results of a comparative study of interorganizational networks, or systems, of mental health delivery in four U.S. cities, leading to a preliminary theory of network effectiveness. Extensive data were collected from surveys, interviews, documents, and observations. Network effectiveness was assessed by collecting and aggregating data on outcomes from samples of clients, their families, and their case managers at each site. Results of analyses of both quantitative and qualitative data collected at the individual, organizational, and network levels of analysis showed that network effectiveness could be explained by various structural and contextual factors, specifically, network integration, external control, system stability, and environmental resource munificence. Based on the findings, we develop testable propositions to guide theory development and future research on network effectiveness.",0001-8392,,MAR,1995,40,1,1,33,,10.2307/2393698,WOS:A1995RB36800001
"Lau, DC; Murnighan, JK","Lau, DC; Murnighan, JK",Demographic diversity and faultlines: The compositional dynamics of organizational groups,"In this article we address issues of diversity within organizational groups by discussing and summarizing previous approaches and by introducing a new variable-faultlines-which depends on the alignment of individual member characteristics. By analyzing a group's faultlines, we focus attention on the underlying patterns of group member characteristics, which can be an important determinant of subgroup conflict, particularly when the group's task is related to one of its faultlines. We discuss the dynamics of faultlines from the early to later stages of a group's development and show how they may be strongest and most likely when diversity of individual member characteristics is moderate.",0363-7425,1930-3807,APR,1998,23,2,325,340,,10.2307/259377,WOS:000073127100010
"Lavie, D","Lavie, Dovev",The competitive advantage of interconnected firms: An extension of the resource-based view,"I extend the resource-based view to incorporate the network resources of interconnected firms. My model distinguishes shared resources from nonshared resources; identifies new types of rent; and illustrates how firm-, relation-, and partner-specific factors determine the contribution of network resources to the rents extracted from alliance networks. After reassessing the heterogeneity, imperfect mobility. imitability, and substitutability conditions, I conclude that the nature of relationships may matter more than the nature of resources in networked environments.",0363-7425,1930-3807,JUL,2006,31,3,638,658,,10.5465/AMR.2006.21318922,WOS:000238379400009
"Jones, C; Hesterly, WS; Borgatti, SP","Jones, C; Hesterly, WS; Borgatti, SP",A general theory of network governance: Exchange conditions and social mechanisms,"A phenomenon of the last 20 years hers been the rapid rise of the network form of governance. This governance form has received significant scholarly attention but, to date, no comprehensive theory for it has been advanced, and no sufficiently detailed and theoretically consistent definition hers appeared. Our objective in this article is to provide a theory that explains under what conditions network governance, rigorously defined, has comparative advantage and is therefore likely to emerge and thrive. Our theory integrates transaction cost economics and social network theories, and. in brood strokes, asserts that the network form of governance is a response to exchange conditions of asset specificity, demand uncertainty, task complexity, and frequency. These exchange conditions drive firms toward structurally embedding their transactions, which enables firms to use social mechanisms for coordinating and safeguarding exchanges. When all of these conditions are in pierce, the network governance form has advantages over both hierarchy and market solutions in simultaneously adapting, coordinating, and safeguarding exchanges.",0363-7425,1930-3807,OCT,1997,22,4,911,945,,10.5465/AMR.1997.9711022109,WOS:000073228300010
"Wang, S; Noe, RA","Wang, Sheng; Noe, Raymond A.",Knowledge sharing: A review and directions for future research,"The success of knowledge management initiatives depends on knowledge sharing. This paper reviews qualitative and quantitative studies of individual-level knowledge sharing. Based on the literature review we developed a framework for understanding knowledge sharing research. The framework identifies five areas of emphasis of knowledge sharing research: organizational context, interpersonal and team characteristics, cultural characteristics, individual characteristics, and motivational factors. For each emphasis area the paper discusses the theoretical frameworks used and summarizes the empirical research results. The paper concludes with a discussion of emerging issues, new research directions, and practical implications of knowledge sharing research. (C) 2009 Elsevier Inc. All rights reserved.",1053-4822,1873-7889,JUN,2010,20,2,115,131,,10.1016/j.hrmr.2009.10.001,WOS:000281649400003
"Obstfeld, D","Obstfeld, D","Social networks, the Tertius lungens and orientation involvement in innovation","This study examines the microprocesses in the social networks of those involved in organizational innovation and their strategic behavioral orientation toward connecting people in their social network by either introducing disconnected individuals or facilitating new coordination between connected individuals. This tertius iungens (or ""third who joins"") strategic orientation, contrasts with the tertius gaudens orientation emphasized in structural holes theory, which concerns the advantage of a broker who can play people off against one another for his or her own benefit. Results of a multimethod study of networks and innovation in an engineering division of an automotive manufacturer show that a tertius iungens orientation, dense social networks, and diverse social knowledge predict involvement in innovation. Implications of the study for innovation and social networks, as well as for social skill and agency within firms are presented.",0001-8392,,MAR,2005,50,1,100,130,,10.2189/asqu.2005.50.1.100,WOS:000229950900004
"Reagans, R; Zuckerman, EW","Reagans, R; Zuckerman, EW","Networks, diversity, and productivity: The social capital of corporate R&D teams","We argue that the debate regarding the performance implications of demographic diversity can be usefully reframed in terms of the network variables that reflect distinct forms of social capital. Scholars who are pessimistic about the performance of diverse teams base their view on the hypothesis that decreased network density-the average strength of the relationship among team members-lowers a team's capacity for coordination. The optimistic view is founded on the hypothesis that teams that are characterized by high network heterogeneity, whereby relationships on the team cut across salient demographic boundaries. enjoy an enhanced learning capability. We test each of these hypotheses directly and thereby avoid the problematic assumption that they contradict one another. Our analysis of data on the social networks, organizational tenure, and productivity of 224 corporate R&D teams indicates that both network variables help account for team productivity. These findings support a recasting of the diversity-performance debate in terms of the network processes that are more proximate to outcomes of interest.",1047-7039,,JUL-AUG,2001,12,4,502,517,,10.1287/orsc.12.4.502.10637,WOS:000170653700007
"Alvarez, SA; Busenitz, LW","Alvarez, SA; Busenitz, LW",The entrepreneurship of resource-based theory,"This paper examines the relationship between resource-based theory and entrepreneurship and develops insights that advance the boundaries of resource-based theory and begin to address important questions in entrepreneurship. We extend the boundaries of resource-based theory to include the cognitive ability of individual entrepreneurs. Entrepreneurs have individual-specific resources that facilitate the recognition of new opportunities and the assembling of resources for the venture. By focusing on resources, from opportunity recognition to the ability to organize these resources into a firm and then to the creation of heterogeneous outputs through the firm that are superior to the market, we help identify issues that begin to address the distinctive domain of entrepreneurship. (C) 2001 Elsevier Science Inc. All rights reserved.",0149-2063,,,2001,27,6,755,775,,10.1016/S0149-2063(01)00122-2,WOS:000172894200009
"Morrison, EW; Milliken, FJ","Morrison, EW; Milliken, FJ",Organizational silence: A barrier to change and development in a pluralistic world,"We argue that there are powerful forces in many organizations that cause widespread withholding of information about potential problems or issues by employees. We refer to this collective-level phenomenon as ""organizational silence."" In our model we identify contextual variables that create conditions conducive to silence and explore the collective sensemaking dynamics that can create the shared perception that speaking up is unwise. We also discuss some of the negative consequences of systemic silence, especially for organizations' ability to change and develop in the context of pluralism.",0363-7425,1930-3807,OCT,2000,25,4,706,725,,10.2307/259200,WOS:000089960800005
"Cummings, JN","Cummings, JN","Work groups, structural diversity, and knowledge sharing in a global organization","Effective work groups engage in external knowledge sharing-the exchange of information, know-how, and feedback with customers, organizational experts, and others outside of the group. This paper argues that the value of external knowledge sharing increases when work groups are more structurally diverse. A structurally diverse work group is one in which the members, by virtue of their different organizational affiliations, roles, or positions, can expose the group to unique sources of knowledge. It is hypothesized that if members of structurally diverse work groups engage in external knowledge sharing, their performance will improve because of this active exchange of knowledge through unique external sources. A field study of 182 work groups in a Fortune 500 telecommunications firm operationalizes structural diversity as member differences in geographic locations, functional assignments, reporting managers, and business units, as indicated by corporate database records. External knowledge sharing was measured with group member surveys and performance was assessed using senior executive ratings. Ordered logit analyses showed that external knowledge sharing was more strongly associated with performance when work groups were more structurally diverse. Implications for theory and practice around the integration of work groups and social networks are addressed.",0025-1909,,MAR,2004,50,3,352,364,,10.1287/mnsc.1030.0134,WOS:000220334200006
"Perry-Smith, JE; Shalley, CE","Perry-Smith, JE; Shalley, CE",The social side of creativity: A static and dynamic social network perspective,"We explore the association between the context of social relationships and individual creativity. We go beyond a one-dimensional treatment of social relationships, highlighting the importance of both static and dynamic social network concepts. We argue that weaker ties are generally but not always beneficial for creativity, propose the network positions that facilitate and constrain creative work, and describe three moderators: A spiraling model is presented, capturing the cyclical relationship between creativity and network position. Collectively; our propositions describe an individual's creative life cycle in terms of network position.",0363-7425,1930-3807,JAN,2003,28,1,89,106,,,WOS:000180314700007
"Rosenkopf, L; Almeida, P","Rosenkopf, L; Almeida, P",Overcoming local search through alliances and mobility,"Recent research suggests that, due to organizational and relational constraints, firms are limited contextually-both geographically and technologically-in their search for new knowledge. But distant contexts may offer ideas and insights that can be extremely useful to innovation through knowledge recombination. So how can firms reach beyond their existing contexts in their search for new knowledge? In this paper, we suggest that two mechanisms-alliances and the mobility of inventors-can serve as bridges to distant contexts and, thus, enable firms to overcome the constraints of contextually localized search. Through the analysis of patent citation patterns in the semiconductor industry, we first demonstrate both the geographic and technological localization of knowledge. We then explore if the formation of alliances and mobility of active inventors facilitate interfirm knowledge flows across contexts. We find that mobility is associated with interfirm knowledge flows regardless of geographic proximity and, in fact, the usefulness of alliances and mobility increases with technological distance. These findings suggest that firms can employ knowledge acquisition mechanisms to fill in the holes of their existing technological and geographic context.",0025-1909,,JUN,2003,49,6,751,766,,10.1287/mnsc.49.6.751.16026,WOS:000183840100005
"Day, DV","Day, DV",Leadership development: A review in context,"Interest in leadership development is strong, especially among practitioners. Nonetheless, there is conceptual confusion regarding distinctions between leader and leadership development, as well as disconnection between the practice of leadership development and its scientific foundation. The present review examines the field of leadership development through three contextual lenses: (1) understanding the difference between leader development and leadership development (conceptual context); (2) reviewing how state-of-the-art development is being conducted in the context of ongoing organizational work (practice context); and (3) summarizing previous research that has implications for leadership development (research context). The overall purpose is to bridge the practice and science of leadership development by showing the importance of building both human and social capital in organizations. Specific practices that are reviewed include 360-degree feedback and executive coaching, mentoring and networking, and job assignments and action learning. Practices and research are framed in terms of a general need to link leader development, which is primarily based on enhancing human capital, with leadership development that emphasizes the creation of social capital in organizations.",1048-9843,,WIN,2000,11,4,581,613,,10.1016/S1048-9843(00)00061-8,WOS:000168162600006
"Higgins, MC; Kram, KE","Higgins, MC; Kram, KE",Reconceptualizing mentoring at work: A developmental network perspective,"We introduce social networks theory and methods as a way of understanding mentoring in the current career context. We first introduce a typology of ""developmental networks"" using core concepts from social networks theory-network diversity and tie strength-to view mentoring as ct multiple relationship phenomenon. We then propose a framework illustrating factors that shape developmental network structures and offer propositions focusing on the developmental consequences for individuals having different types of developmental networks in their careers. We conclude with strategies both for testing our propositions and for researching multiple developmental relationships further.",0363-7425,1930-3807,APR,2001,26,2,264,288,,10.5465/AMR.2001.4378023,WOS:000168177700009
"Constant, D; Sproull, L; Kiesler, S","Constant, D; Sproull, L; Kiesler, S",The kindness of strangers: The usefulness of electronic weak ties for technical advice,"People use weak ties-relationships with acquaintances or strangers-to seek help unavailable from friends or colleagues. Yet in the absence of personal relationships or the expectation of direct reciprocity, help from weak ties might not be forthcoming or could be of low quality. We examined the practice of distant employees (strangers) exchanging technical advice through a large organizational computer network. A survey of advice seekers and those who replied was conducted to test hypotheses about the viability and usefulness of such electronic weak tie exchanges. Theories of organizational motivation suggest that positive regard for the larger organization can substitute for direct incentives or personal relationships in motivating people to help others. Theories of weak ties suggest that the usefulness of this help may depend on the number of ties, the diversity of ties, or the resources of help providers. We hypothesized that, in an organizational context, the firm-specific resources and organizational motivation of people who provide advice will predict the usefulness of advice. We investigated these theories in a study of employees of a global computer manufacturer. We collected survey and observational data on the relationships between information seekers and information providers; the number, diversity, resources, and motivations of information providers, and subjective ratings of the usefulness of the advice (from both parties in the exchange) and whether or not the advice solved information seekers' problems. We found that information providers gave useful advice and solved the problems of information seekers, despite their lack of a personal connection with the seekers. The data support the main hypotheses and provide some support for resource and diversity explanations of weak tie influence. We discuss how this organization's culture sustained useful information exchange through weak ties.",1047-7039,,MAR-APR,1996,7,2,119,135,,10.1287/orsc.7.2.119,WOS:A1996VU27600002
"Uhl-Bien, M","Uhl-Bien, Mary",Relational Leadership Theory: Exploring the social processes of leadership and organizing,"Relational leadership is a relatively new term in the leadership literature, and because of this, its meaning is open to interpretation. In the present article I describe two perspectives of relational leadership: an entity perspective that focuses on identifying attributes of individuals as they engage in interpersonal relationships, and a relational perspective that views leadership as a process of social construction through which certain understandings of leadership come about and are given privileged ontology. These approaches can be complementary, but their implications for study and practice are quite different. After reviewing leadership research relative to these two perspectives I offer Relational Leadership Theory (RLT) as an overarching framework for the study of leadership as a social influence process through which emergent coordination (e.g., evolving social order) and change (e.g., new approaches, values, attitudes, behaviors, ideologies) are constructed and produced. This framework addresses relationships both as an outcome of investigation (e.g., How are leadership relationships produced?) and a context for action (e.g., How do relational dynamics contribute to structuring?). RLT draws from both entity and relational ontologies and methodologies to more fully explore the relational dynamics of leadership and organizing. (c) 2006 Elsevier Inc. All rights reserved.",1048-9843,1873-3409,DEC,2006,17,6,654,676,,10.1016/j.leaqua.2006.10.007,WOS:000243252700007
